Peilmerknummer,X_RD,Y_RD,Punt_status,Punttype,Omschrijving
000A1011,163864.65,540527.95,ACTUEEL,OM,15E X=163864.65 Y=540527.95 OM OUDEMIRDUM BET.PAAL MET BR.KNOP PUT= JA ZAK_R= EIGENDOM
000A1012,163880.63,540553.3,ACTUEEL,OM,15E X=163880.63 Y=540553.30 OM OUDEMIRDUM BET.PAAL MET BR.KNOP PUT= JA ZAK_R= EIGENDOM
000A1013,163906.2,540537.49,ACTUEEL,OM,15E X=163906.20 Y=540537.49 OM OUDEMIRDUM BET.PAAL MET BR.KNOP PUT= JA ZAK_R= EIGENDOM
000A1014,163890.26,540512.33,VERVALLEN,PM,"15E X=163890.26 Y=540512.33 BOVENGR.MRK OUDEMIRDUM ,BOUT IN BET-ZUIL +300MM ,180M ZW-Z OUDE MIRDUMERWG. PUT= NEE ZAK_R= EIGENDOM"
000A1015,163866,540529,ACTUEEL,OM,"15E X=163866 Y=540529 OM OUDEMIRDUM, GRAN.PAAL MET GRAN.KNOP PUT= JA ZAK_R= EIGENDOM"
000A1021,263065.67,575689.45,ACTUEEL,OM,"8C X=263065.67 Y=575689.39 HEILIGERLEE,PUT=JA  ZAK_R= EIGENDOM "
000A1022,263071,575666.55,ACTUEEL,OM,8C X=263070.77 Y=575666.66 HEILIGERLEE PUT= JA  ZAK_R= EIGENDOM 
000A1023,263054,575662.66,ACTUEEL,OM,"8C X=263053.78 Y=575661.99 HEILIGERLEE,PUT= JA  ZAK_R= EIGENDOM "
000A1024,263073.1,575681.77,ACTUEEL,OM,"8C X=263072.86 Y=575681.39,GRAN ZUIL HEILIGERLEE,,PUT=JA,  ZAK_R= EIGENDPM "
000A1025,263045.11,575681.11,ACTUEEL,PM,"8C X=263044.86 Y=575681.14  BOVENGR.MERK HEILIGERLEE 300M BOVEN MV,PUT=NEE  ZAK_R= EIGENDOM "
000A1031,234574,563230,ACTUEEL,OM,"12B X=234573.82 Y=563230.15,OM VRIES,PUT= NEE,PUNT_DIEPTE= 0.70M ONDER MV,VRIJ-T=NEE,LANGE SCHRFDP INGEK./PASSEND GEMAAKT VOOR BETONNEN BESCHERMINGSDEKSEL  ZAK_R= EIGENDOM,FUND-D= 2.05 ONDER MAAIVELD "
000A1032,234605,563225,VERVALLEN,OM,"12B X=234605.42 Y=563224.93,OM VRIES 2 PUT= NEE  ZAK_R= EIGENDOM,FUND-D= 2.05 ONDER MAAIVELD "
000A1033,234600.23,563193.32,VERVALLEN,OM,"12B X=234600.23 Y=563193.32, OM VRIES 3,PUT= NEE  ZAK_R= EIGENDOM "
000A1034,234574.04,563230.91,ACTUEEL,OM,"12B X=234574.04 Y=563230.91,OM GRAN.ZUIL VRIES,PUT=JA  ZAK_R= EIGENDOM "
000A1035,234569,563198,ACTUEEL,PM,"12B X=234568.76 Y=563198.44,OM VRIES 4,PUT=NEE,BET-ZUIL +300MM MV,BET-ZUIL N-Z ASSERSTR,50M ZW-Z HMP 6.4  ZAK_R= EIGENDOM "
000A1036,234605.42,563224.93,ACTUEEL,PM,"12B X=234605.42 Y=563224.93,OM VRIES,NAP BOUT IN ZIJKANT 2008,PUT= NEE  ZAK_R= EIGENDOM,FUND-D= 2.05 ONDER MAAIVELD "
000A1037,234600,563193,ACTUEEL,PM,"12B X=234600.23 Y=563193.32, OM VRIES,NAP BOUT IN ZIJKANT 2008,PUT= NEE  ZAK_R= EIGENDOM "
000A1041,204220,533510,VERVALLEN,OM,"16G X=204220.23 Y=533507.65: OM STEENWIJK, GRAN.ZUIL MET GEPOLIJSTE BOL (ALLE 3), PUT= JA"
000A1042,204197,533519,VERVALLEN,OM,"16G X=204197.36 Y=533518.52,OM STEENWIJK 2 GRAN.ZUIL,,PUT= JA,  ZAK_R= EIGENDOM "
000A1043,204208,533541.5,ACTUEEL,OM,"16G X=204208.25 Y=533541.50,OM STEENWIJK 3 GRAN.ZUIL,,PUT=JA,  ZAK_R= EIGENDOM "
000A1051,224571.65,487301.53,ACTUEEL,OM,"28C X=224571.66 Y=487301.46 OM HELLENDOORN ALMELOSEWEG(N35) HMP 30.1, KRUIZING OUDE DEVENTERWEG GRAN.PAAL,PUT= JA,  ZAK_R=EIGENDOM "
000A1052,224570,487282,ACTUEEL,OM,"28C X=224569.82 Y=487281.58,ALMELOSEWEG KRUIZING DEVENTERSTRAAT,,OM HELLENDOORN GRAN.PAAL GEPOLIJSTE RONDE BOL,PUT=JA,  ZAK-R=EIGENDOM "
000A1053,224549.96,487283.49,ACTUEEL,OM,"28C X=224549.98 Y=487283.45,ALMELOSEWEG KRUIZING DEVENTERSTRAAR,,OM HELLENDOORN GRAN. PAAL GEPOLIJSTE BOL,PUT= JA,  ZAK_R=EIGENDOM "
000A1054,224552,487303,ACTUEEL,PM,"28C X=224551.76 Y=487303.43 BOVENGR.MRK HELLENDOORN,BOUT ZIJKANT GRAN-ZUIL +150MM  NABIJ ALMELOSEWG,HMP 30.1,PUT= NEE  ZAK_R=EIGENAAR "
000A1060,260884,482718,ACTUEEL,OM,"29C X=260883.74 Y=482717.68,GRAN.ZUIL OLDENZAAL, DENEKAMPERSTRAAT/OVERSWEG,PUT= JA  ZAK_R= EIGENDOM "
000A1061,260884,482719,ACTUEEL,OM,"29C X=260884.50 Y=482718.78 OLDENZAAL,,DENEKAMSEWEG/OVERSWEG,PUT= JA  ZAK_R= EIGENDOM "
000A1062,260894.87,482711,VERVALLEN,OM,"29C X=260894.87 Y.482711.45 OLDENZAAL,PUT= JA  ZAK_R= EIGENDOM "
000A1063,260912,482736,VERVALLEN,OM,"29C X=260912.24 Y=482735.81 OLDENZAAL,PUT= JA  ZAK_R= EIGENDOM "
000A1064,260902,482743,VERVALLEN,PM,29C X=260902.05 Y=482743.14 BOVENGR. OLDENZAAL BET-ZUIL  ZAK_R= EIGENDOM 
000A1071,200080,491146,ACTUEEL,OM,"27E X=200080.47 Y=491145.50,HEERDE GRAN. PAAL,PUT= JA  ZAK_R= EIGENDOM "
000A1072,200093,491142,ACTUEEL,OM,"27E X=200093.47 Y=491142.13,HEERDE GRAN. PAAL,PUT= NEE  ZAK_R= EIGENDOM "
000A1073,200098.41,491162,ACTUEEL,OM,"27E X=200098.49 Y=491161.76,HEERDE GRAN. PAAL,PUT= NEE  ZAK_R= EIGENDOM "
000A1074,200086,491165,ACTUEEL,OM,"27E X=200085.52 Y=491164.97,BOVENGR. HEERDE GRAN.ZUIL  ZAK_R= EIGENDOM "
000A1081,225148,463757,ACTUEEL,OM,"34A X=225148.05 Y=463756.93, OM1 LOCHEM,,ZUTPHENSEWEG 6(SCHOOL),PUT= JA  ZAK_R= "
000A1082,225163,463771,ACTUEEL,OM,"34A X=225162.69 Y=463770.58,OM2 LOCHEM,,ZUTPHENSEWEG 6(SCHOOL),PUT= JA  KAD= LOCHEM B-8843,PLAA= 1930,FUND_D= 2.35 ONDER MV "
000A1083,225177,463784,ACTUEEL,OM,"34A X=225177.23 Y=463784.18, OM3 LOCHEM,PUT=NEE,PUT_D=1.15M  KAD= LOCHEM B-8843,PLAA= 1930,FUND_D= 3.20 ONDER MV "
000A1091,197245,446390,VERVALLEN,GT,"40B X=       Y=       (VERVALLEN),OM1 VELP 1E-ORDE MV-   CM,KAD GEG "
000A1092,197222,446411,ACTUEEL,OM,"40B X=197222.12 Y=446410.56, OM2 VELP GRANIETENKOP ONDER TEGEL,1,50M ONDER MV,PUT= JA,  ZAK_R= EIGENDOM "
000A1093,197243,446419,HISTORISCH,OM,"40B X=197243.13 Y=446418.85, OM3 VELP PUT=JA  ZAK_R= EIGENDOM "
000A1094,197250,446390,VERVALLEN,GT,"40B160 X=        Y=       (VERVALLEN),BM VELP 1E-ORDE MV+   CM,KAD GEG "
000A1100,187194,423457,ACTUEEL,OM,"46A X=187194.20 Y=423456.84, OM MALDEN BET PAAL MET KOPBOUT. LET OP SCHROEFDOP VERWIJDEREN.,PUT= JA  ZAK_R= EIGENDOM "
000A1101,187193,423455,ACTUEEL,OM,"46A X=187192.76 Y=423455.20, OM1 MALDEN BET PAAL MET KOPBOUT. LET OP SCHROEFDOP VERWIJDEREN.,PUT= JA  ZAK_R= EIGENDOM "
000A1102,187157.9,423452.19,VERVALLEN,GT,"46A X=187157.90 Y=423452.19,OM2 MALDEN 1E-ORDE MV-   CM,KAD GEG HEUMEN A579 "
000A1103,187154.58,423486.7,ACTUEEL,OM,"46A X=187154.58 Y=423486.70, OM3 MALDEN BET PAAL MET KOPBOUT.LET OP SCHROEFDOP VERWIJDEREN.,PUT= JA  ZAK_R= EIGENDOM "
000A1104,187189.88,423489.46,VERVALLEN,GT,"46A X=187189.88 Y=423489.46,BM4 MALDEN 1E-ORDE MV+   CM,KAD GEG HEUMEN A579 "
000A1111,153226.65,461573.17,ACTUEEL,OM,"32D X=153226.65 Y=461573.17,AMERSFOORT BET PAAL MET KOPBOUT. LET OP SCHROEFDOP VERWIJDEREN.,PUT= JA  ZAK_R= "
000A1112,153251,461582.96,ACTUEEL,OM,"32D X=153251.18 Y=461582.96, AMERSFOORT BET PAAL MET KOPBOUT. LET OP SCHROEFDOP VERWIJDEREN.,PUT= JA  ZAK_R= "
000A1113,153247,461557.83,ACTUEEL,OM,"32D X=153247.10 Y=461557.83, AMERSFOORT BET PAAL MET KOPBOUT. LET OP SCHROEFDOP VERWIJDEREN.,PUT= JA  ZAK_R= "
000A1114,153253.38,461540.87,VERVALLEN,PM,"32D X=153253.38 Y=461540.87,BOVENGR. MRK5 AMERSFOORT, BET-PAAL MM MV, 32D131=0A1114 BET-PAAL UTRECHTSEWG T/O HS NR:198,PUT=NEE              , ZAK_R= "
000A1115,153232,461560,ACTUEEL,OM,"32D X=153232.40 Y=461559.86, AMERSFOORT BET PAAL MET KOPBOUT. LET OP SCHROEFDOP VERWIJDEREN.,PUT= JA  ZAK_R= "
000A1121,123379.8,545256,ACTUEEL,OM,"14E X=123379.72 Y=545256.14,OM1 WIERINGEN,PUT= JA  ZAK_R= EIGENDOM "
000A1122,123404.73,545265.07,ACTUEEL,OM,"14E X=123404.73 Y=545265.01,OM2 WIERINGEN,PUT= JA  ZAK_R= EIGENDOM "
000A1123,123413.99,545239.55,ACTUEEL,OM,"14E X=123413.99 Y=545239.55,OM3 WIERINGEN,PUT= JA  ZAK_R= EIGENDOM "
000A1124,123388.98,545230.71,ACTUEEL,PM,"14E X=123388.98 Y=545230.71,BOVENGR.MRK4 WIERINGEN,PUT= NEE,BET-PAAL MV+80MM,RB IN BET-PL, IN WEILAND 600M O-Z TRAFO NR:18,NOORDERKERKWG 1, 1178 KL WESTERLAND, TEL,0227-591463  ZAK_R= EIGENDOM "
000A1131,116876,562167.92,ACTUEEL,OM,"9D X=116876.01 Y=562167.92,OM1 DEN BURG PUT= JA,1791 LS DEN BURG, TEL: 0222-312981  ZAK_R= geen,vruchtgebruik DHR. J.J. ZIJM,LEEMKUIL 3,1791 LC DEN BURG,TEL:0222-313979 "
000A1132,116860,562180,ACTUEEL,OM,"9D X=116860.19 Y=562180.07, OM2 DEN BURG,PUT= JA  ZAK_R= GEEN,VRUCHTGEBRUIK DHR. J.J. ZIJM,,LEEMKUIL 3, 1791 LC DEN BURG,,TEL: 0222-313979 "
000A1133,116872.26,562196.12,ACTUEEL,OM,"9D X=116872.26 Y=562196.12,OM 3 DEN BURG,PUT= JA,1791 LS DEN BURG, TEL: 0222-312981  ZAK_R=GEEN,VRUCHTGEBRUIK HR. J.J. ZIJM,,LEEMKUIL 3, 1791 LC DEN BURG,,TEL: 0222-313979 "
000A1140,113677.77,434090,VERVALLEN,OM,"38D X=113677.77 Y=434090.25, DEN DONK PUT= JA  ZAK_R= EIGENDOM "
000A1141,113646.98,434078.77,ACTUEEL,OM,"38D X=113646.97 Y=434078.77,OM1 DEN DONK PUT= JA  ZAK_R= EIGENDOM "
000A1142,113678.18,434088.52,VERVALLEN,OM,"38D X=113678.18 Y=434088.52,OM2 DEN DONK PUT= JA  ZAK-R= EIGENDOM "
000A1143,113688.89,434055.96,ACTUEEL,OM,"38D X=113688.89 Y=434055.96,OM3 DEN DONK PUT= JA  ZAK_R= EIGENDOM "
000A1150,121892.41,399110.62,ACTUEEL,OM,"50E X=121892.41 Y=399110.62,OM GILZE EN RIJEN,PUT= JA  ZAK_R= "
000A1151,121892.47,399108.84,ACTUEEL,OM,"50E X=121892.47 Y=399108.84,OM1 GILZE EN RIJEN,PUT= JA  ZAK_R= "
000A1152,121931.32,399097.24,ACTUEEL,OM,"50E X=121931.32 Y=399097.24,OM2 GILZE EN RIJEN,PUT= JA  ZAK_R= "
000A1153,121900.97,399135.54,ACTUEEL,OM,"50E X=121900.97 Y=399135.54,OM3 GILZE EN RIJEN,PUT= JA  ZAK_R= "
000A1160,69285.29,367646.06,ACTUEEL,OM,"55A X=69285.29 Y=367646.06, NIEUW NAMEN,PUT= JA  ZAK_R= "
000A1161,69295.98,367654.66,ACTUEEL,OM,"55A X=69295.98 Y=367654.66, NIEUW NAMEN,PUT= JA  ZAK_R= "
000A1162,69283.53,367646,ACTUEEL,OM,"55A X=69283.53 Y=367646.12, NIEUW NAMEN,PUT= JA  ZAK_R= "
000A1163,69275,367658.6,ACTUEEL,OM,"55A X=69275.06 Y=367658.60, NIEUW NAMEN,PUT= JA  KAD= HULST I 269,EIG= RWS,KAD= HULST I 776 (OMLIGGEND TERREIN IVM OVERPAD)ZAK_R=,PLAA= 1927,FUND_D=2.05M ONDER MV "
000A1164,69287.47,367667.12,ACTUEEL,PM,"55A X=069287.47 Y=367667.12,NIEUW NAMEN,PUT= NEE,BET-PAAL IN WEILAND ACHTER BDR NR:16 1, BET-PAAL +30 CM MV KAD= HULST I 268,EIG= RWS,KAD= HULST I 776 (OMLIGGEND TERREIN IVM OVERPAD)ZAK_R=,PLAA= 1927,FUND_D=2.05M ONDER MV "
000A1171,202541.5,364639,ACTUEEL,OM,"58E X=202541.50 Y=364638.79, OM1 REUVER PUT= JA  ZAK_R= "
000A1172,202531,364643,ACTUEEL,OM,"58E X=202531.43 Y=364643.24, OM2 REUVER,PUT= JA  ZAK_R= "
000A1173,202543.49,364670.57,ACTUEEL,OM,"58E X=202543.49 Y=364670.57, OM3 REUVER,PUT= JA  ZAK_R= "
000A1174,202553,364666,VERVALLEN,GT,"X=202553.46,Y=364666.24, BM REUVER,PUT= NEE,O-Z SPOORWG,BIJ KMP6.4  ZAK_R= "
000A1175,202539.41,364639.13,ACTUEEL,OM,"58E X=202539.41 Y=364639.13, REUVER,PUT= JA  ZAK_R= "
000A1181,180987.86,311102.96,ACTUEEL,OM,"62C X=180987.86 Y=311102.96,OM1 SINT GEERTRUID,,PUT= JA  ZAK_R= "
000A1182,180993,311083.52,ACTUEEL,OM,"62C X=180993.18 Y=311083.52,OM2 SINT GEERTRUID,,PUT= JA  ZAK_R= "
000A1183,180973.79,311078.19,ACTUEEL,OM,"62C X=180973.79 Y=311078.19,OM3 SINT GEERTRUID,,PUT= JA  ZAK_R= EIGENDOM "
000A1185,180968.42,311097.41,ACTUEEL,PM,"62C X=180968.41 Y=311097.41,BOVENGR.MRK4 SINT GEERTRUID,N-Z WG EIJSDEN- ST GEERTRUID,PUT= NEE,BET.ZUIL +200MM MV,,62C011=0A1185  ZAK_R= "
000A1200,196952,454691.42,ACTUEEL,PM,"33D  X= 196952.03  Y= 454691.42,33D003=0A1200,RB IN BET-VT, PRIMAIRE,LENGTEBASIS,1E FUND.,MEEST W RD-IJKBASIS LOENERMARK,,BRUISBEEK 22 7371 CR LOENEN 0MELDEN BIJ BOSHS1CHTOPZ LOENEN, ZAK_R= ERFPACHT "
000A1202,196961,454692.08,ACTUEEL,PM,"33D  X= 196961.01 Y= 454692.08,RBBET-VT PRIM LENGTEBASIS,2E FUND LOENERMARK,  ZAK_R= ERFPACHT "
000A1203,196979.1,454693.3,ACTUEEL,PM,"33D  X= 196979.10 Y= 454693.30,RB IN BET-VT PRIM 3E FUND IJKBASIS LOENERMARK,  ZAK_R= ERFPACHT "
000A1204,197051,454698.25,ACTUEEL,PM,"33D  X= 197051.02 Y= 454698.25,33D007=0A1204,RB IN BET-VT PRIMAIRE,LENGTEBASIS,4E FUNDERING VANUIT 'T W.,RD-IJKBASIS LOENERMARK,,DERSCH LANDSCHAP, A. VAN KNABEN, BRUISBEEK 22,7371 CR LOENEN 0, MELDEN ZIJPENDAALSEWEG 44, 6814 CL ARNHEM, TEL: 026-3552555,ZAK_R= ERFPACHT "
000A1205,197242.25,454711.15,ACTUEEL,PM,"33D  X= 197242.25  Y= 454711.15,33D008=0A1205,RB IN BET-VT PRIMAIRE,LENGTEBASIS,5E FUNDERING VANUIT 'T W.,RD-IJKBASIS LOENERMARK,,DERSCH LANDSCHAP, A. VAN KNABEN, BRUISBEEK 22, 7371 CR LOENEN 0, MELDEN ZAK_R= ERFPACHT "
000A1206,197526.65,454730.64,ACTUEEL,PM,"33D  X= 197526.65  Y=454730.64 33D009=0A1206,RB IN BET-VT,PRIM LENGTE-,BASIS,6E FUN VANUIT W. RD-YKBASIS LOE-,NERMARK,,PUT= NEE,,SCHAP,A. VAN KNABEN, BRUISBEEK 22,LOENEN 0, MELDEN, BOSHS1CHTOPZ. LOENEN CONT_P= GELDERSCH LAND- ZAK_R= ERFPACHT "
000A2000,121840,486770,ACTUEEL,GT,25G OM STADHUIS/MUZIEKTHEATER  STADHUIS GEM AMSTERDAM ZAK_R= 
000A2010,227869.88,602119.25,ACTUEEL,OM,"03C X=227869.88 Y=602119.25,OM WESTERNIELAND,PUT=JA  ZAK_R= EIGENDOM "
000A2020,223155.46,584578.3,ACTUEEL,OM,"07C X=223155.46 Y=584578.30,ZUIDHORN,PUT= PVC-BUIS MET KUNSTSTOF DEKSEL  ZAK_R= "
000A2030,257955.78,586398.74,ACTUEEL,OM,"07H X=257955.78 Y=586398.74 WAGENBORGEN OP SCHOOLPLEIN BIJ BANK,BET PAAL MET KOPBOUT,PUT= JA  ZAK_R= "
000A2040,273206.37,552508.27,ACTUEEL,OM,"13D X=273206.37 Y=552508.27,OM SELLINGEN, PUT= JA,9951 AB  SELLINGEN, TEL: 0599-320220  ZAK_R=,FUND-D= 1.85M ONDER MV "
000A2050,195715.28,589515.67,ACTUEEL,OM,"6B X=195715.28 Y=589515.67,MURMERWOUDE,PUT= JA  ZAK_R= "
000A2060,156424.65,558832.45,ACTUEEL,OM,"10D X=156424.65 Y=558832.45,GAAST,PUT= JA  ZAK_R= "
000A2070,194080.84,551574.4,ACTUEEL,OM,"11D X=194080.84 Y=551574.40 ORANJEWOUD,BET PAAL MET KNOPBOUT,PUT= JA  ZAK_R= EIGENDOM "
000A2080,249080.39,554746.01,ACTUEEL,OM,"12G X=249080.39 Y=554746.01 GASSELTE,BET PAAL MET KOPBOUT,PUT= JA  ZAK_R= "
000A2090,227769.11,535509.58,ACTUEEL,OM,"17C X=227769.11 Y=535509.58 SPIER, BET PAAL MET KOPBOUT, PUT= JA"
000A2100,250493.75,535320.99,ACTUEEL,OM,"17H X=250493.75 Y=535320.99 NOORD-SLEEN, PUT= JA  ZAK_R= EIGENDOM "
000A2110,225820.32,501196.4,ACTUEEL,OM,"22C X=225820.32 Y=501196.46,DEN HAM, HAMMERWG BET PAAL MET KOPBOUT,PUT= JA  ZAK_R= "
000A2120,240287.21,500056.11,ACTUEEL,OM,"22G X=240287.21 Y=500056.11 SIBCULO,,BET PAAL MET KOPBOUT,PUT= JA  ZAK_R= EIGENDOM "
000A2130,241708.33,458983.67,ACTUEEL,OM,"34G X=241708.31 Y=458983.66 EIBERGEN,,HAAKSBERGENSEWEG,BET PAAL MET KOPBOUT,PUT= JA  ZAK_R= "
000A2140,238542.97,439138.23,ACTUEEL,OM,"41B X=238542.97 Y=439138.23 AALTEN, DENNEDORD NAAST HS NR 1,BET PAAL MET KOPBOUT,T.O. ZWEMBAD 'T WALFORT',PUT= JA  ZAK_R= "
000A2150,171340,480520,VERVALLEN,GT,"26H X=          Y=,OM ERMELO 2E-ORDE MV-   CM,KAD GEG "
000A2160,179960.28,470275.62,ACTUEEL,OM,"32F X=179960.28 Y=470275.62,MILLINGEN , BET PAAL MET KOPBOUT ,,MEETPUNT ZIT 2.00M ONDER MV 3M BAAK!!,PUT= JA  ZAK_R= EIGENDOM "
000A2170,174856,442140,ACTUEEL,OM,"39F X=174855.70 Y=442140.01 WAGENINGEN,,BET PAAL MET KOPBOUT,PUT= JA  ZAK_R= "
000A2180,136548,482305,ACTUEEL,OM,"25H X=136547.51 Y=482304.63 MUIDERBERG BET PAAL MET KOPBOUT,EIGENAAR HEEFT PROBLEMEN MET TOEGANG,PUT= JA  ZAK_R= "
000A2190,131502.87,475106.44,ACTUEEL,OM,"25H X=131502.87 Y=475106.44,NEDERHORST BET PAAL KOPBOUT,PUT= JA,PUT_D= -300MM,DOP=     MM, MRK=     MM 0BEGRAAFPLAATS ZAK_R= "
000A2191,131500,475110,VERVALLEN,GT,
000A2200,93558.17,441294.16,ACTUEEL,OM,"37F X=93558.17  Y=441294.16 (OM F R'DAM),HILLEGERSBERG,BET PAAL MET KOPBOUT,PUT= JA  ZAK_R= "
000A2210,113438,438275,ACTUEEL,OM,"38B X=113437.94 Y=438275.10,OM BERGAMBACHT,PUT=JA  ZAK_R= "
000A2220,171218.73,416402.57,ACTUEEL,OM,"45F X=171218.73 Y=416402.57 SCHAIJK,BET PAAL MET KOPBOUT,PUT= JA  UDEN, ZADELMAKERSTR 12, 5405 BR UDEN, TEL: 0413-273827,ZAK_R= "
000A2230,178924.92,398335.88,ACTUEEL,OM,"51F X=178924.92 Y=398335.88 GEMERT,,BET PAAL MET KNOPBOUT.,PUT= JA  ZAK_R= "
000A2240,155963.98,371348.46,VERVALLEN,OM,"57B X=155963.98 Y=371348.46,OM WESTERHOVEN, PUT= JA  KAD= WESTERHOVEN D209,EIG= GEM WESTERHOVEN,PLAA= 1929,FUND_D= 1.85 ONDER MV "
000A2250,137938.39,382209.63,ACTUEEL,OM,"50H X=137938.39 Y=382209.63,OM HILVARENBEEK,PUT= JA  KAD= HILVARENBEEK I 236,EIG= V&W,PLAA= 1929,FUND_D= 1.85M ONDER MV "
000A2260,93812.66,395281.32,VERVALLEN,OM,"49F X=093812.66 Y=395281.32ROOSENDAAL PUT= JA 0, MIDDENBERM RW58 ZAK_R= "
000A2270,83383.77,378734.3,ACTUEEL,PM,"X=083383.77 Y=378734.30 OSSENDRECHT,PUT= JA  ZAK_R= "
000A2280,205434.53,395836.51,VERVALLEN,OM,52E X=205434.53 Y=395836.51 WELLERLOOI  KAD: BERGEN G2213 
000A2290,201300,385059.21,VERVALLEN,OM,"52G X=201300.01 Y=385059.21  HORST,,PUT= JA  ZAK_R= "
000A2300,103166,487082.6,ACTUEEL,OM,"25C X=103166.00 Y=487082.60  HAARLEM, PUT= JA  ZAK_R= "
000A2310,137972,451968,VERVALLEN,GT,X=137972.26 Y=451968.33  HOUTEN  FUND_D= 6.75 ONDER MV 
000A2320,147903.8,432646,ACTUEEL,OM,"X=147903.80 Y=432646.36  GELDERMALSEN, PUT= JA  ZAK_R= "
000A2330,146200,407300,ACTUEEL,OM,"X=146136.22 Y=407280.78 VUGHT,PUT=JA,HEDIKHUIZEN, TEL: 0416-661823  ZAK_R= "
000A2340,110907.77,455545.19,VERVALLEN,OM,"31D X=110907.77 Y=455545.19,OM BODEGRAVEN MV -80CM,BOUT MET BESCHERMDOP ONDER BET-DEKSEL,KAD:,EIG: GEM BODEGRAVEN, RAADHUISPLEIN 2,BODEGRAVEN  FUND_D= 15.50 ONDER MV "
000A2350,121294.51,487378.33,ACTUEEL,OM,"25G X=121294.51 Y=487378.33,OM PW1000 AMSTERDAM (OP DE DAM),PUT=JA  ZAK_R= "
000A2360,125070.37,502903.79,VERVALLEN,OM,"X=125070.34 Y=502903.79  BEEMSTER,PUT= JA  1461 DN ZUIDOOSTBEEMSTER, TEL: 0299- 436954,ZAK_R= "
000A2370,106630,472730,ACTUEEL,OM,"X=106625.06 Y=472726.44  BURGERVEEN, PUT= JA  ZAK_R= "
000A2380,129390.98,515896.06,VERVALLEN,OM,"X=129390.98 Y=515896.06 DEN HULK,,PUT= JA  ZAK_R= "
000A2390,113453.69,515515.43,ACTUEEL,OM,"X=113453.69 Y=515515.43 OUDORP ALKMAAR,LANGS PROVINCIALE WEG,PUT= JA(BET BUNKER)  ZAK_R= RECHT VAN OVERPAD VOOR RWS,MOET NOG WORDEN UITGEZOCHT,INDIEN NODIG "
000A2400,111372.66,536123.89,VERVALLEN,OM,"14D X=111372.66  Y=536123.89,OM ZIJPE,PUT= JA  ZAK_R= "
000A2410,108603.97,503983.31,VERVALLEN,OM,"19C X=108603.97 Y=503983.31 OM UITGEEST,PUT= JA  ZAK_R= "
000A2420,125182.55,529692.18,ACTUEEL,OM,"X=125182.55 Y=529692.18  HOOGWOUD,PUT= JA  ZAK_R= "
000A2430,147320.82,522917.13,ACTUEEL,OM,"X=147320.82 Y=522917.13 ENKHUIZEN,,PUT= JA  ZAK_R= "
000A2440,142810,559300,VERVALLEN,GT,10C X=          Y= M BREEZANDDIJK 
000A2450,191566.02,318197.28,ACTUEEL,OM,"X=191566.02 Y=318197.28 UBACHSBERG,PUT= JA  ZAK_R= "
000A2460,161982.03,503419.12,ACTUEEL,OM,"OM LELYSTAD, PUT= JA"
000A2470,220112.11,549809,ACTUEEL,OM,"X=220112  Y=549809 OM APPELSCHA, PUT=JA"
000A2480,201150,565150,ACTUEEL,OM,"11E X=201132.35 Y=565167.61, OM DRACHTEN,PUT= JA  ZAK_R= "
000A2490,39301.73,411184.89,ACTUEEL,OM,"X=039301.73 Y=411184.89  WESTENSCHOUWEN, PUT= JA  4301 XC ZIERIKZEE, TEL:0111-452000,ZAK_R= "
000A2500,39070.78,400225.5,ACTUEEL,OM,"X=39070.78 Y=400225.50  KAMPERLAND,,PUT= JA  ZAK_R= "
000A2510,122880,487860,VERVALLEN,GT,"25E X=          Y=,OM PW1151 AMSTERDAM,OM ZIT ONDER ASFALT OPG GEM A'DAM 121187 "
000A2520,175992.62,483810.17,ACTUEEL,OM,"26H X=175992.62 Y=483810.17  HIERDEN, OP VERZORGINGSPLAATS LANGS A28 HEK,PUT= JA 1/0ALLEEN VANAF A28 ZAK_R= EIGENDOM "
000A2530,122477.98,488324.6,VERVALLEN,GT,"25E X=122477.98 Y=488324.60,PW1153 AMSTERDAM NABIJ MEEUWENLAAN,DE BOUT IS HERPLAATST,GEVOLG NIEUW NUMMER 000A2532 "
000A2534,122477.98,488324.6,VERVALLEN,OM,"25E X=122477.98 Y=488324.60 PW1154 AMSTERDAM, NABIJ MEEUWENLAAN,SLEUTEL NODIG,DEKSEL MET HANGSLOT 0(BODEM SLOOT) ZAK_R= "
000A2540,138320,451980,ACTUEEL,OM,"31H X=138320.51 Y=451980.12, OM UTRECHT,PUT= JA  KAD= UTRECHT O430,EIG= MIN.V&W, DIR.UTRECHT, ZOOMSTEDE 15, 3431 HK NIEUWEGEIN, TEL: 030-6009500,PLAA= 1978 "
000A2550,220600,600500,VERVALLEN,GT,"3C X=220626.04 Y=600511.59,OM KRUISWEG 2E-ORDE MV-   CM,KAD GEG KLOOSTERBUREN E170  FUND_D= 26.40M ONDER MV "
000A2560,240725.51,555615.5,ACTUEEL,OM,"12G X=240725.51 Y=555615.50, OM ROLDE PUT= JA,236, 1964 HZ HEEMSKERK, TEL: 0251-231304 0, BIJ GEBRUIK MELDEN RECEPTIE KAD= ROLDE L3067,EIG= STICHTING NED.CENTRUM VOOR HUISVESTING V. BEJAARDEN, TUSSENMEER 284, 1069 DP AMSTERDAM-OSDORP,PLAA= 1979,FUND_D=13.50M ONDER MV "
